"Id","FullyQualifiedName","NetIncome"
"","",""
"1","Amy's Bird Sanctuary","630.00"
"2","Bill's Windsurf Shop","260.00"
"3","Cool Cars","2194.00"
"4","Diego Rodriguez","140.00"
"5","Dukes Basketball Camp","422.00"
"6","Dylan Sollfrank","337.50"
"7","Freeman Sporting Goods","1128.75"
"8","Freeman Sporting Goods:0969 Ocean View Road","923.75"
"9","Freeman Sporting Goods:55 Twin Lane","205.00"
"10","Geeta Kalapatapu","582.50"
"11","Gevelber Photography","Net Income"
"12","Jeff's Jalopies","75.00"
"13","John Melton","750.00"
"14","Kate Whelan","225.00"
"16","Kookies by Kathy","75.00"
"17","Mark Cho","156.00"
"18","Paulsen Medical Supplies","954.75"
"15","Pye's Cakes","-8.75"
"19","Rago Travel Agency","Net Income"
"20","Red Rock Diner","137.91"
"21","Rondonuwu Fruit and Vegi","75.00"
"22","Shara Barnett","274.50"
"23","Shara Barnett:Barnett Design","274.50"
"24","Sonnenschein Family Store","200.25"
"25","Sushi by Katsuyuki","240.00"
"26","Travis Waldron","2541.00"
"27","Video Games by Dan","Net Income"
"28","Wedding Planning by Whitney","Net Income"
"29","Weiskopf Consulting","375.00"
